review_id,full_review,rating_managment_explicit,rating_managment_explicit_ohe,disagreement_with_ratings_ohe,combine_tag
R3U4CSG8S44EX4,"I haven't reviewed this item earlier as I've tried to get through this whole book several times and just can't manage.  The plot is week - the amish girl slowly (very slowly) falling in love with her ""english"" neighbor as she helps him create a garden.  You can tell where the book is going - but it moves so slowly I didn't have the patience to finish reading it to get there.",0,0,0,0
RWSW1IV84L6MT,Wish I could have given it better stars but when I sat down to fill goody bags I was short one pencil. They only gave me 23 NOT 24 which I paid for and needed as there are 24 children in the class. Ugh. Off to the store to buy a different package for just one pencil.Don’t waste your money. The people can’t count when packaging. 😕,0,0,0,0
R1UF6K5K7VQ8PE,"Easily - it is near when a book such as Wilson's Spin can win Hugo award.The book has mildly interesting 'science' story in it and that was the only reason I finished it.  If one wanted to be picky, one would however point out that the ideas in the book are hardly original.The main problem with the book is that the interesting science could be told in a 10-pages long novella, but Wilson decided to make a full novel out of it by padding it by hundreds of pagesof sophomoric writing about puppy love and third rate social observations.  Some reviewers complained here that the main character in the book is not interesting - there are no boring personalities,there are just poor writers.Here are selected examples of Wilson's imagination about the future: tired cliche ""main stream media"" is still in use; people get their news from CNN: really? Does anybody now?We learn about obligatory religious cults, which are necessarily weird.  The description of how a corporation functions is plain childish and it is clear Wilson never botheredto get a real-life experience.I almost gave 2/3 into the book when Wilson felt obliged to retell old joke about broken watch telling correct time twice a day.  Maybe in his mind it passes for great humor?The book is to be avoided at all cost - if you crave Sci-Fi turn to real writers.",0,0,0,0
RXS2HQA6NJ6UR,Disappointed that I am unable to read this book as the publisher refuses to enable text to speech (TTS). This ignores the NEEDS of the visually impaired and print disabled. I have read books 4 to 7 in the Lucky Santangelo series as they are available on CD. I'm sure I would love this book if I was able to read it with TTS. I had to rate this 1 star as a 0 stars option is not available.,0,0,0,0
R3Q7EPJ5JXE70D,"I'm somewhat pleased with the sticky pads. They don't leave any sticky residue behind. They are perfect for reminders, page holders or marking places on the walls that need touch-up paint. Unfortunately, they are not as sticky as the PostIt brand so we will not be using these as a replacement.Disclosure: I was given a pack of these sticky notes to use for review purposes. I'm always honest and give my true opinions whether they're positive or negative.",0,0,0,0
RGZEB0DW9HBSJ,"Very disappointing, not the quality of the music, which is excellent but, reading the other glowing reviews, I was under the impression this product was the 2012 remastered surround sound Quad mix whereas the disc I have received (according to the sleeve) is the straightforward 2009 stereo remaster but is actually (given the date on the disc) the 2007 stereo remaster.....which I already bought in 2007!",0,0,0,0
R3HWW0UGENKK2K,"I was attracted to the book because it aims to cover the whole time period (1776 - present). I am not a historian myself and did not wish to perform independent research on the subject. The book seemed like a major piece of scholarly work. The author went to great lengths to make the reader think that this is a balanced view of history, until we reach the 20th century; it is then that his credibility starts waning, since I have read many different accounts of the major events of the 20th century. e.g. Margaret Macmillan's book about the Paris Peace conference of 1919, ""Six months that changed the World"".He writes a glowing profile of David Ben-Gurion while his account of Mustafa Kamal of Turkey portrays him as a conniving conspirator at best. And that is how most of the 20th century gets covered. US presidents might have made some mistakes but they meant well, while Arab leaders could never be trusted. The fact is that all these figures were trying to manage their volatile environments, while empires were crumbling, any way they could. They were not much better or worse than one another. The things they did had more to do with their political systems (or lack thereof) than their moral superiority. The theme of an enlightened America bringing civilization to the Middle East stands in stark contrast to, for example, America showing up in Japanese waters in the 1850s forcing them to open up for trade at gunpoint (treaty of Kanagawa, one of the so-called Unequal Treaties). That convinced the Japanese that they need a strong military, thereby embarking on their own militaristic ambitions. We all know how that ended. The point is that history is more complicated and inter-connected than to make the simple claim that America became federal and got a navy because of the Barbary wars. Isaac Asimov said: the trouble with logic is that you can prove anything in the world, so long as you make the appropriate assumptions. This is a great example of molding facts to suit one's conclusion.Comparing George Washington to Moses, King George to the Pharaoh, Atlantic ocean to the Red Sea, America to the promised land, 13 states to the ten tribes, a pattern starts emerging where the author goes to great lengths trying to convince the reader that support for the state of Israel is America's moral, civic and faith-based obligation; that many presidents were instructed by their childhood priests (e.g. Clinton) to defend Israel or burn in hell. He is also grief-stricken that an American was imprisoned for spying for Israel (he mentions it a few times in the book). And then I learn that the author is not just an American historian but also a major in the Israeli Defense Forces. I avoid books by a biased party for the same reason that biased parties are avoided as judges and juries: clouded judgment even if they mean well. The author could have mentioned that fact in the Introduction, but apparently, he did not think it was relevant or material information.Describing the 2003 Iraqi invasion, the author declares: ""While Iraq's buffoonish Information Minister, Mohammed Saeed Alsahaf, known to the press as Baghdad Bob, ..."". I have never come across such characterization (buffoonish) by a historian. I am disappointed; many of the things in the book may be true, and yet the half-truths and one-sided accounts make me question not just what he mentions in the book but what he might have omitted. He is a good storyteller though; I'll give him that. May be he should apply his talent to the history of another region of the world, so there's no conflict of interest.It would be redundant to mention instances that have already been mentioned by other reviewers, like the USS Liberty incident, which, evidence suggests, was an attempt to blame the attack on Egypt and get the U.S. directly involved in the 1967 conflict. After reading a few reviews in each star category, one can make up one's own mind about the pros and cons. The reviews on Amazon represent what is great about America: democracy and open debate, pre-cursors to understanding, which is a pre-cursor to the end of hatred. Again, the world is not so simple and yet Humanity has no choice but to try to achieve that goal. All children of the world are innocent and they deserve our efforts towards that end.",0,0,0,0
R15LHIE9OPGHO,"Even after meticulously reading the description, reviews, & asking questions, this kit did not work. The description said it was compatible with my printer, but it is not.Sure, the actual ink is real ink & all, but the cartridge setup does not work... The printer will not recognize it. The instructions it comes with are useless. Even after searching YouTube for troubleshooting solutions & trying different methods, it was still useless. No resetting, on-off, reprogramming, or fairy dusting work.I would leave zero stars if I could..",0,0,0,0
RKNPMS6ZPDH1V,this is a waste of money. it doesn't stay on the arm of the chair and rolls off. there is nothing that I can see to correct this so there is no sense in buying it. beware! I didn't even want to give it 1 star!,0,0,0,0
R1CNXWGC6D6QUT,the hopper on the top of this bill counter is at such an awkward angle. You have to put the stack of bills in at JUST the right angle otherwise they draw in crooked and jam right away. You can’t put more than 100 bills in either or it jams numerous times. Spits the bills out at the bottom quite bad as well. I’d give it 2 stars counting 20s/50s/100s and 1 star counting 1s/5s/10s. It literally can’t count a stack of singles without jamming or throwing an error. I have a royal sovereign bill counter which works 1000 times better for only twice the price but what do ya expect for $69. Would not recommend for any large quantity counting or bundling. It just sits in the closet now as I went over the 1 month return window. Not even using it. Waste of money,0,0,0,0
